Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Paharganj,28.6419258,77.2217499,KFC,28.64498202,77.2235039,Fast Food Restaurant
Paharganj,28.6419258,77.2217499,Comesum - The Food Junction,28.64284589,77.22303796,Food Court
Paharganj,28.6419258,77.2217499,Khan Market,28.64221957,77.21831103,Chinese Restaurant
Barakhamba Road,28.6291417,77.2261489,Tamasha,28.62966333,77.22183483,Gastropub
Barakhamba Road,28.6291417,77.2261489,Bijoli grill,28.62590483,77.22576624,Indian Restaurant
Barakhamba Road,28.6291417,77.2261489,Chew,28.63200153,77.22270642,Asian Restaurant
Barakhamba Road,28.6291417,77.2261489,Garam Dharam,28.63184213,77.22275212,North Indian Restaurant
Connaught Place,28.6313827,77.2197924,Rajdhani Thali,28.62999946,77.22040113,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Farzi Cafe,28.6325808,77.22112484,Molecular Gastronomy Restaurant
Connaught Place,28.6313827,77.2197924,Wenger's,28.6334119,77.21829193,Bakery
Connaught Place,28.6313827,77.2197924,Chaayos,28.63162854,77.22036426,Café
Connaught Place,28.6313827,77.2197924,Barbeque Nation,28.63025339,77.22098502,BBQ Joint
Connaught Place,28.6313827,77.2197924,Johnny Rockets,28.630457,77.219594,Bistro
Connaught Place,28.6313827,77.2197924,United Coffee House,28.63247672,77.22111998,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Pind Balluchi,28.63031834,77.21760033,North Indian Restaurant
Connaught Place,28.6313827,77.2197924,Jain Chawal Wale,28.63132836,77.21617206,Food Truck
Connaught Place,28.6313827,77.2197924,HOTEL SARAVANA BHAVAN,28.63231947,77.21644532,South Indian Restaurant
Connaught Place,28.6313827,77.2197924,Tamasha,28.62966333,77.22183483,Gastropub
Connaught Place,28.6313827,77.2197924,Khan Chacha | खान चाचा | خان چاچا,28.63420229,77.22077981,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Nando's,28.63094667,77.21972076,Portuguese Restaurant
Connaught Place,28.6313827,77.2197924,Wenger's Deli,28.63365799,77.21813924,Deli / Bodega
Connaught Place,28.6313827,77.2197924,Berco's,28.63240705,77.21732308,Chinese Restaurant
Connaught Place,28.6313827,77.2197924,Dunkin',28.63018187,77.2196221,Donut Shop
Connaught Place,28.6313827,77.2197924,Immigrants Project - A Cafe in History,28.63405505,77.21886681,Café
Connaught Place,28.6313827,77.2197924,Nizam's Kathi Kabab | निजा़म काठी कबाब,28.63485796,77.21946245,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Odeon Social,28.6344142,77.22093551,Café
Connaught Place,28.6313827,77.2197924,Sagar Ratna,28.63548725,77.22064969,Indian Restaurant
Connaught Place,28.6313827,77.2197924,Warehouse Cafe,28.63372639,77.22102408,Café
Connaught Place,28.6313827,77.2197924,Chew,28.63200153,77.22270642,Asian Restaurant
Connaught Place,28.6313827,77.2197924,Fresc Co,28.62841503,77.21954939,Italian Restaurant
Connaught Place,28.6313827,77.2197924,Burger King,28.63282845,77.22132551,Fast Food Restaurant
